"paper_UID","original classification task","labels from human annotation","used original human annotation","used external human annotation data","original human annotation source","# of annotators specified","training for human annotators","formal instructions ","prescreening for crowdwork platforms","multiple annotator overlap","reported inter-annotator agreement","reported crowdworker compensation","link to dataset available","annot_score_normalized","annot_score_raw","corpus","keywords","venue_publisher","venue_type","venue_type_consol","venue_type_prepost_consol"
"b7c485f39101623c7b90669f2e27b7fea90d41b7","Yes","Yes","Yes","No","Other","No","No information","no instructions beyond question text","","Yes for all items","No","","No",0.42857142857142855,3.0,"Scopus","sentiment analysis; non-English","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"2717bbfa1a2e553f8739608d95941e1a2ca976c1","Yes","Yes","Yes","No","No information","Yes","No information","instructions w/ formal definition or examples","","Yes for all items","No","","No",0.42857142857142855,3.0,"Scopus","sentiment analysis; non-English; political science; elections","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"f906d92ba005b46d35cc055edf7734d50d897f8b","Yes","No","","","","","","","","","","","","","","Scopus","sentiment analysis; finance; public opinion","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"3226ef39151fb5eeeee08b8d8ad2a89cc282e234","Yes","Yes","Yes","No","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"Scopus","cybersecurity; spam prediction; social networks","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"7b52c030e8d65eb4093d2b27f99f74c0bb5b7890","Yes","Yes","Yes","No","No information","No","No information","No information","","No information","","","No",0.0,0.0,"Scopus","terrorism; user profiling; social networks","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"86d54b74f86aaa79522c43a593828f08a33435a0","No","","","","","","","","","","","","","","","Scopus","activism; public opinion; user profiling","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"d52c11caf7271d540c59aad6584b61f74190806a","Yes","No","","","","","","","","","","","","","","Scopus","cybersecurity; spam prediction","IEEE","Non-ArXived refereed journal article","Journal","Non-ArXived"
"3306c75ef6197d4a3320975e5f08bc1a595407b2","Yes","No","","","","","","","","","","","","","","Scopus","sentiment analysis; non-English","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"8cd5ac53107b119e46e2e7620d8a10e5f8d88345","Yes","Yes","Yes","No","Paper's authors","No","No information","instructions w/ formal definition or examples","","No information","","","No",0.3333333333333333,2.0,"Scopus","user profiling; employment prediction","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"c86da271e5b1d70d54e4709ec81460281fad96f0","Yes","Yes","Yes","Yes","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"Scopus","sentiment analysis","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"abd0379e692f0b6dbcc52d69bdaf81a1dddb4509","No","","","","","","","","","","","","","","","Scopus","human geography; location prediction","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"7e287945eeef57e9a220fe8471929132ebdc0cd8","Yes","No","","","","","","","","","","","","","","Scopus","sentiment analysis; user profiling; personality prediction; psychology","IEEE","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"20066ddc7080fc805ee353d54820533740f2a837","Yes","Yes","Yes","No","No information","Yes","No information","No information","","Yes for all items","No","","No",0.2857142857142857,2.0,"Scopus","cybersecurity; spam prediction","Elsevier","Non-ArXived refereed journal article","Journal","Non-ArXived"
"2fe3a5419445bf2b313da36c57be8188a743d85c","Yes","Yes","Yes","No","Paper's authors","Yes","No information","instructions w/ formal definition or examples","","Yes for all items","Yes","","No",0.7142857142857143,5.0,"Scopus","public opinion; public health; information quality","Elsevier","Non-ArXived refereed journal article","Journal","Non-ArXived"
"b84abd8eb4f384aa7613306142f1b10aa2413ddc","Yes","Yes","Yes","Yes","Academic experts / professionals","Yes","No information","No information","","No information","","","No",0.3333333333333333,2.0,"Scopus","non-English; personality prediction; psychology","Elsevier","Non-ArXived refereed journal article","Journal","Non-ArXived"
"edd75f7ce7c483af4d5f6849df44bf03c7b82cd5","Yes","Yes","Yes","No","Other","No","No information","no instructions beyond question text","","No","","","No",0.5,3.0,"Scopus","user profiling; marketing; consumer prediction","Elsevier","Non-ArXived refereed journal article","Journal","Non-ArXived"
"5c5b0643a5fc0143dda9c7ea1276b36c4c9e9279","Yes","No","","","","","","","","","","","","","","Scopus","sentiment analysis","SPC","Non-ArXived refereed journal article","Journal","Non-ArXived"
"a2bd585da43d1c87f746c26fc8a525fbc75bbb3a","Yes","No","","","","","","","","","","","","","","Scopus","social networks; recommender systems","Springer","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"2f8489d780b712ca8c264dafb2eb4efd2ee5204e","Yes","Yes","Yes","No","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"Scopus","social networks; user profiling","ACM","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"a718f1fe9789cc969f706e14f85655b0a2d0577d","Yes","No","","","","","","","","","","","","","","Scopus","sentiment analysis","ACM","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"54eca3d15f4a4d6de851bb3b83ef2744e5bce83b","Yes","No","","","","","","","","","","","","","","Scopus","user profiling","ACM","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"64cb64a70345a929684653fea56bea8545c2cd66","Yes","No","","","","","","","","","","","","","","Scopus","cybersecurity; bot prediction; spam prediction; user profiling","ACM","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"868133a2fe350f710166c92161df17a465776d77","Yes","Yes","Yes","No","Paper's authors","No","No information","instructions w/ formal definition or examples","","No information","","","No",0.3333333333333333,2.0,"Scopus","cybersecurity; spam prediction; user profiling","ACM","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"2abfe74faf6821bb28d08c34df1270d634bd7a34","Yes","Yes","Yes","No","Academic experts / professionals","Yes","some training details","No information","","No information","","","No",0.5,3.0,"Scopus","public opinion; political science; elections","Springer","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"4d75406d583f32b44dc3e3fc56f1869793edc1db","Yes","No","","","","","","","","","","","","","","Scopus","finance; recommender systems; public opinion","Springer","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"ba1c398769d505a490a30b3f421f6b3866bc8540","No","","","","","","","","","","","","","","","Scopus","topic identification","Springer","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"5408d4ad5c6f64bf40b1a2a60075274afa958453","Yes","Yes","Yes","No","Paper's authors","No","No information","instructions w/ formal definition or examples","","No information","","","No",0.3333333333333333,2.0,"Scopus","human geography; user profiling; employment prediction","Springer","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"a96cbd270e2dcdf694a58b7a5141507340552ed2","Yes","Yes","Yes","No","No information","No","No information","No information","","No information","","","No",0.0,0.0,"Scopus","entity recognition","Springer","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"1e5a942a518aa3b9e3efa7f8429a796150a6f198","Yes","Yes","Yes","No","No information","Yes","No information","No information","","Yes for all items","No","","No",0.2857142857142857,2.0,"Scopus","sentiment analysis; public opinion; topic identification; computer vision","Springer","Non-ArXived refereed conference proceedings","Conference","Non-ArXived"
"64f6c9cf87b5380821b65dd7fe3abaa82bb5ca6e","Yes","Yes","Yes","Yes","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"ArXiv","epidemology; public health; topic identification","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"21ede30f01302833acdcbe491c1646b7cbd17170","Yes","Yes","Yes","No","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"ArXiv","sentiment analysis; social networks; social influence","ACM","Postprint of refereed conference proceeding","Conference","Postprint"
"671d47115efe8235b0fb73b5afe8f3de4821cca8","Yes","No","","","","","","","","","","","","","","ArXiv","topic identification","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"ce72169d6501b791af616ca0345ffb67ff1c360a","Yes","No","","","","","","","","","","","","","","ArXiv","political science; elections; user profiling; public opinion","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"4b0ba49c1d7c90e26b68808b3f1f7109561310ab","No","","","","","","","","","","","","","","","ArXiv","social computing; social influence; topic identification; user profiling; non-English","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"8f9c911c49932fef72be49d8bb468b95093db114","No","","","","","","","","","","","","","","","ArXiv","social computing; social networks","ACM","Preprint of refereed conference proceeding","Conference","Preprint"
"264fb3bec34031f0e5d011e1e1f8fba88f8dc219","Yes","Yes","Yes","No","Academic experts / professionals","Yes","some training details","instructions w/ formal definition or examples","","Yes for all items","Yes","","No",0.8571428571428571,6.0,"ArXiv","political science; public opinion; journalism; non-English","ArXiv","Preprint never published","Preprint never published","Preprint never published"
"7a2d2ec5676269a0813589ea89039870e2e28df7","Yes","Yes","No","Yes","","","","","","","","","","","","ArXiv","cybersecurity; phishing","IEEE","Postprint of refereed conference proceeding","Conference","Postprint"
"8ab48cfc5b7a758201fb1f4654a81926b8a7cb79","Yes","No","","","","","","","","","","","","","","ArXiv","cultural studies; public opinion; sentiment analysis","IEEE","Postprint of refereed conference proceeding","Conference","Postprint"
"d8579cfd389c696f5661d257898349e02e5ddee8","Yes","Yes","Yes","No","Paper's authors","No","No information","No information","","No information","","","No",0.16666666666666666,1.0,"ArXiv","cybersecurity; security vulnerabilities; topic identification","IEEE","Postprint of refereed conference proceeding","Conference","Postprint"
"4e4da2916ce94c7bb8fc47752665038196d5c810","Yes","No","","","","","","","","","","","","","","ArXiv","political science; elections; human geography; non-English","ACM","Preprint of refereed conference proceeding","Conference","Preprint"
